,0
0,0.10887993878340924
1,0.18928843967194475
2,0.2548779033590071
3,0.16012882979746493
4,0.05309296758493756
5,0.07535086279689023
6,0.2517278155327785
7,0.10873276421280481
8,0.22140017843002507
9,0.2803983081931692
10,0.2899297658348437
11,0.19675981929981295
12,0.11657124959455197
13,0.40177626709096753
14,0.14635779156445053
15,0.1338906971971841
16,0.09602123213119645
17,0.10816428170190563
18,0.17275081577606718
19,0.08227722477067688
20,0.27711128322191925
21,0.23070585752822087
22,0.18493912207157953
23,0.041268196702026395
24,0.3038625401336646
25,0.2208072958350315
26,0.22709410910631014
27,0.17693683448547776
28,0.18660435542751616
29,0.18418544670710083
30,0.20390336971684844
31,0.2530388373931213
32,0.09633000116798936
33,0.08819937911323521
34,0.04640947129364103
35,0.17431242579432787
36,0.16661229908690872
37,0.1587655492328099
38,0.11551111388356693
39,0.30664882164743484
40,0.0846532120274729
41,0.19221145045112928
42,0.2952130055519296
43,0.032280535491612784
44,0.1090651375706562
45,0.1426185998878683
46,0.04251355328596958
47,0.39634191866029206
48,0.13836111471251514
49,0.1226616505734592
50,0.03651458180687832
51,0.3102131566523225
52,0.09817368051002852
53,0.16237351204008593
54,0.024635726600504327
55,0.10676807193540301
56,0.12255025431294686
57,0.061885829063912
58,0.11620845170561869
59,0.06970525769110458
60,0.11516091795977854
61,0.0671768369940087
62,0.03804715341329301
63,0.28151791372672336
64,0.13791118823234136
65,0.07653117799855737
66,0.20386132385543493
67,0.22536735304322963
68,0.23647117245885144
69,0.16275442835754608
70,0.032178924165106246
71,0.1371313057000202
72,0.12491963331536172
73,0.07616162913559787
74,0.3085835881251471
75,0.10810304788371686
76,0.2683401517937405
77,0.10364073406209212
78,0.2511137363618908
79,0.23570293058762687
80,0.19314296028265238
81,0.31901374038590813
82,0.16236147441822352
83,0.26793644051216037
84,0.33721619681315673
85,0.16601398013690494
86,0.25072361351372413
87,0.07507570929554189
88,0.023548789669401562
89,0.04340302009557042
90,0.10334814930006693
91,0.40767969995352793
92,0.09726548652761942
93,0.1405042522484886
